City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
218,Provideniya,RU,64.3833,-173.3,12.36,67,0,11.18,clear sky
219,Pochutla,MX,15.7432,-96.4661,88.83,46,81,7.9,broken clouds
220,Narasannapeta,IN,18.4167,84.05,76.23,94,19,4.83,few clouds
221,Saint-Pierre,RE,-21.3393,55.4781,78.91,78,0,5.75,clear sky
222,Ugoofaaru,MV,5.6667,73.0,82.54,66,3,12.06,clear sky
223,Sept-Iles,CA,50.2001,-66.3821,29.05,75,100,10.36,overcast clouds
224,Vestmanna,FO,62.1564,-7.1664,43.72,100,100,2.3,drizzle
225,Jieshi,CN,22.8134,115.8257,62.94,92,100,14.5,overcast clouds
226,Huangchuan,CN,32.1272,115.0394,55.45,99,100,4.43,overcast clouds
227,Nouakchott,MR,18.0858,-15.9785,67.93,69,0,17.65,clear sky
228,Mayo,US,38.8876,-76.5119,56.52,95,100,8.99,mist
229,San Patricio,US,28.017,-97.5169,82.49,14,0,15.73,clear sky
230,Kutum,SD,14.2,24.6667,66.92,18,3,10.96,clear sky
231,Diego De Almagro,CL,-26.3667,-70.05,78.94,20,0,10.51,clear sky
232,Erenhot,CN,43.6475,111.9767,29.17,50,63,8.01,broken clouds
233,Yumen,CN,40.2833,97.2,33.6,49,100,6.4,overcast clouds
234,Luanda,AO,-8.8368,13.2343,82.4,83,20,10.36,few clouds
235,Mitsamiouli,KM,-11.3847,43.2844,83.01,75,81,2.37,broken clouds
236,Coos Bay,US,43.3665,-124.2179,69.31,80,0,6.91,clear sky
237,Kyaikto,MM,17.3,97.0167,78.15,74,2,2.55,clear sky
238,Petatlan,MX,17.5167,-101.2667,84.0,32,0,7.27,clear sky
239,Glace Bay,CA,46.1969,-59.957,35.78,82,75,6.91,broken clouds
240,Kushima,JP,31.4583,131.2333,51.82,83,65,4.59,broken clouds
241,Jiuquan,CN,39.7432,98.5174,32.45,61,100,5.88,overcast clouds
242,Ippy,CF,6.2679,21.2247,80.47,48,62,6.73,broken clouds
243,Tautira,PF,-17.7333,-149.15,80.89,74,20,11.34,light rain
244,Lata,PT,40.1629,-8.3327,59.81,84,100,1.68,light rain
245,Hualmay,PE,-11.0964,-77.6139,73.8,75,46,9.71,scattered clouds
246,Cabedelo,BR,-6.9811,-34.8339,79.32,81,100,10.09,overcast clouds
247,Stornoway,GB,58.2093,-6.3865,48.92,91,100,11.5,overcast clouds
248,Husavik,IS,66.0449,-17.3389,23.65,86,100,15.79,light snow
249,Aranos,NA,-24.1333,19.1167,71.11,60,100,13.67,overcast clouds
250,Uvira,CD,-3.4067,29.1458,73.17,84,95,1.72,light rain
251,Cabo San Lucas,MX,22.8909,-109.9124,81.61,51,51,3.0,broken clouds
252,Ballybofey,IE,54.8,-7.7833,49.75,91,99,1.83,overcast clouds
253,Mahebourg,MU,-20.4081,57.7,79.09,89,40,5.75,scattered clouds
254,Castro,BR,-24.7911,-50.0119,68.47,93,11,6.02,moderate rain
255,Sabang,ID,5.8933,95.3214,82.08,71,100,4.56,overcast clouds
256,Puerto Escondido,MX,15.85,-97.0667,84.65,66,68,7.29,broken clouds
257,Lampang,TH,18.3333,99.5,80.85,42,18,2.19,few clouds
258,Okhotsk,RU,59.3833,143.3,-2.78,98,70,7.65,broken clouds
259,Srednekolymsk,RU,67.45,153.6833,1.42,96,99,2.8,overcast clouds
260,Zilair,RU,52.2332,57.4392,27.01,98,100,8.43,overcast clouds
261,Pangani,TZ,-5.4333,38.9667,79.88,85,11,5.61,few clouds
262,Kieta,PG,-6.2167,155.6333,80.55,83,100,2.48,light rain
263,Hovd,MN,48.0056,91.6419,18.79,34,96,7.49,overcast clouds
264,Beisfjord,NO,68.3751,17.5988,32.05,85,100,6.58,overcast clouds
265,Dunedin,NZ,-45.8742,170.5036,54.82,75,16,2.84,few clouds
266,Goderich,CA,43.7501,-81.7165,47.91,70,100,18.41,overcast clouds
267,Nouadhibou,MR,20.931,-17.0347,64.38,68,0,18.41,clear sky
268,Acapulco,MX,16.8634,-99.8901,84.02,58,0,10.36,clear sky
269,Keningau,MY,5.3378,116.1602,70.12,99,94,1.63,overcast clouds
270,Iqaluit,CA,63.7506,-68.5145,19.13,62,75,11.01,broken clouds
271,Sechura,PE,-5.5569,-80.8222,83.79,53,26,16.51,scattered clouds
272,Posevnaya,RU,54.3006,83.3297,14.29,95,85,9.44,overcast clouds
273,Trinidad,BO,-14.8333,-64.9,87.78,70,75,6.91,broken clouds
274,Japura,ID,-0.3167,102.35,75.11,96,52,0.31,broken clouds
275,Eldoret,KE,0.5204,35.2699,62.29,63,80,5.66,broken clouds
276,Kastamonu,TR,41.5,33.6667,26.51,91,100,4.85,overcast clouds
277,Bilibino,RU,68.0546,166.4372,13.98,92,100,0.87,overcast clouds
278,Tanete,ID,-3.9443,119.7848,74.12,92,99,0.83,overcast clouds
279,Pitimbu,BR,-7.4706,-34.8086,79.75,80,100,10.25,overcast clouds
280,Talnakh,RU,69.4865,88.3972,11.21,93,99,10.6,overcast clouds
281,Kunigal,IN,13.0222,77.0267,74.71,62,33,1.16,scattered clouds
282,Santa Cruz,BO,-17.8,-63.1667,80.06,83,75,12.66,thunderstorm
283,Ranot,TH,7.7777,100.3213,81.48,78,4,3.02,clear sky
284,Svetlogorsk,BY,52.6333,29.7333,35.29,89,100,11.1,overcast clouds
285,Tacuarembo,UY,-31.7333,-55.9833,60.69,55,37,15.41,scattered clouds
286,Sitka,US,57.0531,-135.33,48.09,53,100,10.36,overcast clouds
287,Ust-Kuyga,RU,70.0167,135.6,-19.97,100,99,4.03,overcast clouds
288,Bure,ET,10.7,37.0667,66.0,37,84,0.89,broken clouds
289,Vanavara,RU,60.34,102.2797,-1.53,100,91,2.8,overcast clouds
290,Kysyl-Syr,RU,63.8986,122.7617,-5.3,100,100,2.64,overcast clouds
291,Manavalakurichi,IN,8.1333,77.3,80.11,81,51,7.92,broken clouds
292,Visnes,NO,59.3556,5.2242,43.21,93,100,9.22,fog
293,Grindavik,IS,63.8424,-22.4338,37.87,93,100,6.91,overcast clouds
294,Nanchong,CN,30.7951,106.0847,59.0,80,100,1.92,overcast clouds
295,Aksu,CN,41.1231,80.2644,44.31,70,100,12.59,overcast clouds
296,San,ML,13.3034,-4.8956,94.28,12,36,3.8,scattered clouds
297,Yeppoon,AU,-23.1333,150.7333,71.38,69,93,8.05,overcast clouds
298,Adrar,MR,20.5022,-10.0711,73.17,26,0,12.06,clear sky
299,Ilo,PE,-17.6394,-71.3375,70.66,64,0,11.5,clear sky
300,Jatai,BR,-17.8814,-51.7144,77.38,76,82,3.42,broken clouds
301,Kavaratti,IN,10.5669,72.642,82.45,65,5,4.34,clear sky
302,Mandera,KE,3.9366,41.867,88.41,41,100,6.4,overcast clouds
303,Praia Da Vitoria,PT,38.7333,-27.0667,61.05,82,20,19.15,few clouds
304,Itacoatiara,BR,-3.1431,-58.4442,81.68,88,91,1.92,overcast clouds
305,Comodoro Rivadavia,AR,-45.8667,-67.5,66.06,39,0,11.5,clear sky
306,Mount Gambier,AU,-37.8333,140.7667,53.51,94,100,2.3,overcast clouds
307,Bowen,AU,-20.0167,148.2333,69.84,83,68,7.99,broken clouds
308,Gwadar,PK,25.1216,62.3254,79.65,53,0,7.58,clear sky
309,Ostrovnoy,RU,68.0531,39.5131,15.85,73,100,8.41,overcast clouds
310,Ijuin,JP,31.6167,130.4,47.91,87,93,5.37,overcast clouds
311,Castlegar,CA,49.2998,-117.6689,50.11,66,94,2.59,overcast clouds
312,Vladyslavivka,UA,45.1667,35.3667,37.96,80,39,3.11,scattered clouds
313,Inta,RU,66.0317,60.1659,10.92,96,100,6.4,overcast clouds
314,Jyvaskyla,FI,62.2415,25.7209,39.54,72,0,3.44,clear sky
315,Yambio,SS,4.5721,28.3955,79.09,36,90,1.01,overcast clouds
316,Smithers,CA,54.7804,-127.1743,44.92,42,20,10.36,few clouds
317,Isangel,VU,-19.55,169.2667,80.28,77,37,13.51,scattered clouds
318,Pilar,BR,-9.5972,-35.9567,76.33,77,25,5.12,scattered clouds
319,Nur,PL,52.6683,22.3221,41.74,73,2,7.29,clear sky
320,Pinar Del Rio,CU,22.4175,-83.6981,86.23,49,93,13.58,overcast clouds
321,Nokia,FI,61.4667,23.5,37.38,83,100,1.14,overcast clouds
322,Meulaboh,ID,4.1363,96.1285,76.68,90,17,3.83,few clouds
323,Quimperle,FR,47.8667,-3.55,53.74,59,0,10.36,clear sky
324,Kargopol,RU,61.5071,38.9456,19.81,90,24,6.53,few clouds
325,North Bend,US,43.4065,-124.2243,69.24,82,0,6.91,clear sky
326,Rio Blanco,MX,18.8333,-97.15,63.27,80,69,5.39,broken clouds
327,Takab,IR,36.4009,47.1133,31.69,74,28,12.8,scattered clouds
328,Borba,BR,-4.3878,-59.5939,80.55,93,92,1.83,heavy intensity rain
329,Kaeo,NZ,-35.1,173.7833,68.32,86,100,11.79,overcast clouds
330,Helong,CN,42.5397,128.9972,37.9,83,100,5.91,overcast clouds
331,Agrate Brianza,IT,45.5778,9.3515,59.65,32,0,4.61,clear sky
332,San Salvador,SV,13.6894,-89.1872,82.87,78,40,14.97,scattered clouds
333,Prado,BR,-17.3411,-39.2208,76.84,85,19,6.22,light rain
334,Krasnoselkup,RU,65.7,82.4667,14.25,95,99,14.03,light snow
335,Phonhong,LA,18.5007,102.4166,72.79,95,66,1.1,broken clouds
336,Moose Factory,CA,51.2585,-80.6094,33.8,80,100,11.5,overcast clouds
337,Winnemucca,US,40.973,-117.7357,71.65,24,0,5.75,clear sky
338,Esperance,AU,-33.8667,121.9,57.88,84,0,11.74,clear sky
339,Nome,US,64.5011,-165.4064,18.1,57,100,12.66,overcast clouds
340,Huilong,CN,31.8111,121.655,57.92,94,100,21.41,light rain
341,Dubbo,AU,-32.25,148.6167,60.93,88,40,9.22,scattered clouds
342,Ginir,ET,7.1333,40.7,64.4,65,58,5.82,broken clouds
343,Acheng,CN,45.5454,126.977,42.89,77,72,19.66,broken clouds
344,Darnah,LY,32.767,22.6367,55.54,66,0,19.19,clear sky
